GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US245101204002,245101204002,"Block Group 2, Census Tract 1204, Baltimore city, Maryland",1004,232,232,84,754,222,0,12,12,10,0,12,0,12,6,9,0,12,6,9
1500000US245101205001,245101205001,"Block Group 1, Census Tract 1205, Baltimore city, Maryland",1032,308,209,69,694,308,0,12,31,49,0,12,47,49,51,44,0,12,51,44
1500000US245101205002,245101205002,"Block Group 2, Census Tract 1205, Baltimore city, Maryland",1212,196,461,121,703,158,0,12,32,37,0,12,0,12,16,21,4,8,12,19
1500000US245101206001,245101206001,"Block Group 1, Census Tract 1206, Baltimore city, Maryland",945,188,419,135,443,135,0,12,60,36,0,12,13,21,10,15,0,12,10,15
1500000US245101206002,245101206002,"Block Group 2, Census Tract 1206, Baltimore city, Maryland",1137,284,583,222,388,156,35,79,131,116,0,12,0,12,0,12,0,12,0,12
1500000US245101206003,245101206003,"Block Group 3, Census Tract 1206, Baltimore city, Maryland",582,119,84,60,481,107,9,14,0,12,0,12,0,12,8,13,0,12,8,13
1500000US245101207001,245101207001,"Block Group 1, Census Tract 1207, Baltimore city, Maryland",703,232,440,156,143,143,0,12,56,55,0,12,40,56,24,30,0,12,24,30
1500000US245101207002,245101207002,"Block Group 2, Census Tract 1207, Baltimore city, Maryland",920,322,471,188,240,187,0,12,201,222,0,12,0,12,8,12,0,12,8,12
1500000US245101207003,245101207003,"Block Group 3, Census Tract 1207, Baltimore city, Maryland",1056,285,623,157,340,203,0,12,35,61,0,12,0,12,58,89,0,12,58,89
1500000US245101301001,245101301001,"Block Group 1, Census Tract 1301, Baltimore city, Maryland",769,272,182,103,548,260,0,12,0,12,0,12,33,30,6,11,0,12,6,11
1500000US245101301002,245101301002,"Block Group 2, Census Tract 1301, Baltimore city, Maryland",617,195,16,27,573,194,9,15,9,12,0,12,0,12,10,15,0,12,10,15
1500000US245101301003,245101301003,"Block Group 3, Census Tract 1301, Baltimore city, Maryland",848,251,118,84,701,226,0,12,2,4,0,12,0,12,27,36,1,2,26,36
1500000US245101301004,245101301004,"Block Group 4, Census Tract 1301, Baltimore city, Maryland",457,114,96,73,347,114,0,12,0,12,0,12,0,12,14,15,0,12,14,15
1500000US245101302001,245101302001,"Block Group 1, Census Tract 1302, Baltimore city, Maryland",910,311,292,136,476,241,0,12,17,19,0,12,114,168,11,17,0,12,11,17
1500000US245101302002,245101302002,"Block Group 2, Census Tract 1302, Baltimore city, Maryland",1237,462,88,64,1057,458,28,45,0,12,0,12,0,12,64,78,0,12,64,78
1500000US245101302003,245101302003,"Block Group 3, Census Tract 1302, Baltimore city, Maryland",643,180,116,85,495,183,0,12,0,12,0,12,22,35,10,15,0,12,10,15
1500000US245101302004,245101302004,"Block Group 4, Census Tract 1302, Baltimore city, Maryland",644,256,87,84,553,241,0,12,0,12,0,12,0,12,4,16,0,12,4,16
1500000US245101303001,245101303001,"Block Group 1, Census Tract 1303, Baltimore city, Maryland",668,213,57,41,592,214,10,15,9,11,0,12,0,12,0,12,0,12,0,12
1500000US245101303002,245101303002,"Block Group 2, Census Tract 1303, Baltimore city, Maryland",599,295,12,17,587,298,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245101303003,245101303003,"Block Group 3, Census Tract 1303, Baltimore city, Maryland",790,211,6,13,777,215,0,12,0,12,0,12,0,12,7,10,0,12,7,10
1500000US245101304001,245101304001,"Block Group 1, Census Tract 1304, Baltimore city, Maryland",737,301,23,25,699,302,14,22,0,12,0,12,1,5,0,12,0,12,0,12
1500000US245101304002,245101304002,"Block Group 2, Census Tract 1304, Baltimore city, Maryland",1235,294,44,50,1178,290,0,12,0,12,0,12,0,12,13,14,0,12,13,14
1500000US245101304003,245101304003,"Block Group 3, Census Tract 1304, Baltimore city, Maryland",422,110,11,12,411,110,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245101306001,245101306001,"Block Group 1, Census Tract 1306, Baltimore city, Maryland",1156,274,919,218,87,79,0,12,116,127,0,12,0,12,34,34,0,12,34,34
1500000US245101306002,245101306002,"Block Group 2, Census Tract 1306, Baltimore city, Maryland",889,206,711,167,141,187,0,12,26,40,0,12,11,18,0,12,0,12,0,12
1500000US245101306003,245101306003,"Block Group 3, Census Tract 1306, Baltimore city, Maryland",627,200,618,199,0,12,0,12,9,14,0,12,0,12,0,12,0,12,0,12
1500000US245101306004,245101306004,"Block Group 4, Census Tract 1306, Baltimore city, Maryland",1288,297,1115,303,22,24,0,12,96,103,0,12,13,20,42,48,0,12,42,48
1500000US245101307001,245101307001,"Block Group 1, Census Tract 1307, Baltimore city, Maryland",656,183,498,156,133,69,0,12,10,17,0,12,0,12,15,25,0,12,15,25
1500000US245101307002,245101307002,"Block Group 2, Census Tract 1307, Baltimore city, Maryland",1121,264,891,249,0,12,0,12,73,67,0,12,0,12,157,129,58,92,99,90
1500000US245101307003,245101307003,"Block Group 3, Census Tract 1307, Baltimore city, Maryland",577,175,450,135,14,22,0,12,92,114,0,12,0,12,21,33,0,12,21,33
